,Column,Missing,Missing_p,Count,Type,Distinct,Most Popular,Mean,Std,Min,Max,Feat_type,T-stat,P-value,significance,Chi-square,D.Freedom,stage,class,In use
113,current_company_location_united states,0,0,57237,float64,2,0,0.00459493,0.067630588,0,1,numerical,0.325618837,0.744713949,Yes,,,1,contact,TRUE
114,current_company_location_worldwide,0,0,57237,float64,2,0,0.000262068,0.016186542,0,1,numerical,0.727256217,0.467071988,Yes,,,1,contact,TRUE
115,hs_last_sales_activity_type__NA>,0,0,57237,float64,2,1,0.949962437,0.218024393,0,1,numerical,11.48006782,1.79E-30,No,,,1,interaction ,TRUE
116,hs_last_sales_activity_type_EMAIL_CLICK,0,0,57237,float64,2,0,0.001397697,0.03735998,0,1,numerical,-2.637906255,0.00834422,No,,,1,interaction ,TRUE
117,hs_last_sales_activity_type_EMAIL_OPEN,0,0,57237,float64,2,0,0.009696525,0.097993215,0,1,numerical,-15.57927732,1.30E-54,No,,,1,interaction ,TRUE
118,hs_last_sales_activity_type_EMAIL_REPLY,0,0,57237,float64,2,0,0.002708039,0.051968762,0,1,numerical,-17.21673302,2.92E-66,No,,,1,interaction ,TRUE
119,hs_last_sales_activity_type_FORM_SUBMITTED,0,0,57237,float64,2,0,0.023673498,0.152031139,0,1,numerical,-3.010939818,0.00260554,No,,,1,interaction ,TRUE
120,hs_last_sales_activity_type_MEETING_BOOKED,0,0,57237,float64,2,0,0.012561804,0.111374244,0,1,numerical,4.239252942,2.25E-05,No,,,1,interaction ,TRUE
121,hs_sa_first_engagement_object_type__NA>,0,0,57237,float64,2,1,0.977601901,0.147975697,0,1,numerical,8.469607652,2.52E-17,No,,,1,interaction ,TRUE
122,hs_sa_first_engagement_object_type_CALL,0,0,57237,float64,2,0,0.008525953,0.091942424,0,1,numerical,-1.850709647,0.064216485,Yes,,,1,interaction ,TRUE
123,hs_sa_first_engagement_object_type_CONVERSATION_SESSION,0,0,57237,float64,2,0,0.000104827,0.010238073,0,1,numerical,-1.79123266,0.073261249,Yes,,,1,interaction ,TRUE
124,hs_sa_first_engagement_object_type_EMAIL,0,0,57237,float64,2,0,0.002917693,0.053937288,0,1,numerical,-6.973543478,3.12E-12,No,,,1,interaction ,TRUE
125,hs_sa_first_engagement_object_type_MEETING_EVENT,0,0,57237,float64,2,0,0.010727327,0.103016681,0,1,numerical,-6.510984347,7.53E-11,No,,,1,interaction ,TRUE
126,hs_sa_first_engagement_object_type_TASK,0,0,57237,float64,2,0,0.000122299,0.011058286,0,1,numerical,-1.587394499,0.112428848,Yes,,,1,interaction ,TRUE
127,hs_predictivescoringtier_0,0,0,57237,float64,2,1,0.902580499,0.296530738,0,1,numerical,2.808239404,0.004983004,No,,,1,interaction ,TRUE
128,hs_predictivescoringtier_1,0,0,57237,float64,2,0,0.047416881,0.212530725,0,1,numerical,9.704236156,3.01E-22,No,,,1,interaction ,TRUE
129,hs_predictivescoringtier_2,0,0,57237,float64,2,0,0.018799029,0.135815858,0,1,numerical,5.709965628,1.14E-08,No,,,1,interaction ,TRUE
130,hs_predictivescoringtier_3,0,0,57237,float64,2,0,0.012194909,0.109756109,0,1,numerical,4.9919416,6.00E-07,No,,,1,interaction ,TRUE
131,hs_predictivescoringtier_4,0,0,57237,float64,2,0,0.008403655,0.091286248,0,1,numerical,4.135736442,3.54E-05,No,,,1,interaction ,TRUE
132,hs_predictivescoringtier_5,0,0,57237,float64,2,0,0.010605028,0.1024341,0,1,numerical,-45.65742291,0,No,,,1,interaction ,TRUE
133,vertical_name_Career DHR,0,0,57237,float64,2,0,0.10243374,0.303220507,0,1,numerical,-11.82263227,3.25E-32,No,,,1,contact,TRUE
134,vertical_name_Data,0,0,57237,float64,2,0,0.141918689,0.348969773,0,1,numerical,5.456522452,4.88E-08,No,,,1,contact,TRUE
135,vertical_name_Deep Cybersecurity,0,0,57237,float64,2,0,0.101053514,0.301402204,0,1,numerical,9.715578662,2.69E-22,No,,,1,contact,TRUE
136,vertical_name_Design,0,0,57237,float64,2,0,0.164596328,0.370819065,0,1,numerical,-11.71101695,1.22E-31,No,,,1,contact,TRUE
137,vertical_name_Digital Marketing,0,0,57237,float64,2,0,0.174502507,0.379544331,0,1,numerical,1.160143472,0.245995237,Yes,,,1,contact,TRUE
138,vertical_name_Digital Product Management,0,0,57237,float64,2,0,0.004228034,0.064886297,0,1,numerical,-60.35441232,0,No,,,1,contact,TRUE
139,vertical_name_GEDI DT,0,0,57237,float64,2,0,0.311267187,0.463015843,0,1,numerical,13.94388541,4.05E-44,No,,,1,contact,TRUE
140,hs_analytics_source__NA>,0,0,57237,float64,2,1,0.902580499,0.296530738,0,1,numerical,2.808239404,0.004983004,No,,,1,interaction ,TRUE
141,hs_analytics_source_DIRECT_TRAFFIC,0,0,57237,float64,2,0,0.011845485,0.108191375,0,1,numerical,-11.9254148,9.54E-33,No,,,1,interaction ,TRUE
142,hs_analytics_source_EMAIL_MARKETING,0,0,57237,float64,2,0,0.000297011,0.017231589,0,1,numerical,-0.563250283,0.573266674,Yes,,,1,interaction ,TRUE
143,hs_analytics_source_OFFLINE,0,0,57237,float64,2,0,0.009644111,0.097730596,0,1,numerical,-4.52943276,5.93E-06,No,,,1,interaction ,TRUE
144,hs_analytics_source_ORGANIC_SEARCH,0,0,57237,float64,2,0,0.005101595,0.071243649,0,1,numerical,-6.166882756,7.01E-10,No,,,1,interaction ,TRUE
145,hs_analytics_source_OTHER_CAMPAIGNS,0,0,57237,float64,2,0,0.004822056,0.069274002,0,1,numerical,-0.532912655,0.594096114,Yes,,,1,interaction ,TRUE
146,hs_analytics_source_PAID_SEARCH,0,0,57237,float64,2,0,0.001712179,0.041343409,0,1,numerical,-1.484500836,0.137681609,Yes,,,1,interaction ,TRUE
147,hs_analytics_source_PAID_SOCIAL,0,0,57237,float64,2,0,0.062267414,0.241642719,0,1,numerical,6.044881263,1.50E-09,No,,,1,interaction ,TRUE
148,hs_analytics_source_REFERRALS,0,0,57237,float64,2,0,0.000489194,0.022112514,0,1,numerical,0.993738022,0.320354628,Yes,,,1,interaction ,TRUE
149,hs_analytics_source_SOCIAL_MEDIA,0,0,57237,float64,2,0,0.001240456,0.035198569,0,1,numerical,-1.036084204,0.300167238,Yes,,,1,interaction ,TRUE
150,hs_latest_source__NA>,0,0,57237,float64,2,1,0.902580499,0.296530738,0,1,numerical,2.808239404,0.004983004,No,,,1,interaction ,TRUE
151,hs_latest_source_DIRECT_TRAFFIC,0,0,57237,float64,2,0,0.018135122,0.133441189,0,1,numerical,-19.17269669,1.13E-81,No,,,1,interaction ,TRUE
152,hs_latest_source_EMAIL_MARKETING,0,0,57237,float64,2,0,0.012142495,0.109522895,0,1,numerical,-3.22709066,0.001251262,No,,,1,interaction ,TRUE
153,hs_latest_source_OFFLINE,0,0,57237,float64,2,0,0.001100687,0.033158624,0,1,numerical,-4.069947886,4.71E-05,No,,,1,interaction ,TRUE
154,hs_latest_source_ORGANIC_SEARCH,0,0,57237,float64,2,0,0.004647344,0.068013429,0,1,numerical,-2.01368055,0.044047754,No,,,1,interaction ,TRUE
155,hs_latest_source_OTHER_CAMPAIGNS,0,0,57237,float64,2,0,0.00431539,0.065550308,0,1,numerical,2.605693267,0.009171226,No,,,1,interaction ,TRUE
156,hs_latest_source_PAID_SEARCH,0,0,57237,float64,2,0,0.001030802,0.03208983,0,1,numerical,1.442914998,0.14904989,Yes,,,1,interaction ,TRUE
157,hs_latest_source_PAID_SOCIAL,0,0,57237,float64,2,0,0.051784685,0.221593973,0,1,numerical,9.464424812,3.06E-21,No,,,1,interaction ,TRUE
158,hs_latest_source_REFERRALS,0,0,57237,float64,2,0,0.000663906,0.025758048,0,1,numerical,-4.211374363,2.54E-05,No,,,1,interaction ,TRUE
159,hs_latest_source_SOCIAL_MEDIA,0,0,57237,float64,2,0,0.003599071,0.059884722,0,1,numerical,2.314853385,0.020624477,No,,,1,interaction ,TRUE
160,deal_cooking_state_1,0,0,57237,float64,2,0,0.002253787,0.047420951,0,1,numerical,1.162850293,0.244895096,Yes,,,2,interaction ,TRUE
161,deal_cooking_state_2,0,0,57237,float64,2,0,0.016929608,0.129008866,0,1,numerical,-49.24655093,0,No,,,2,interaction ,TRUE
162,deal_cooking_state_3,0,0,57237,float64,2,0,0.458951378,0.498316515,0,1,numerical,32.27107362,1.94E-226,No,,,2,interaction ,TRUE
163,deal_cooking_state_4,0,0,57237,float64,2,0,0.011897898,0.108427596,0,1,numerical,1.953243305,0.050795638,Yes,,,2,interaction ,TRUE
164,deal_cooking_state__NA>,0,0,57237,float64,2,1,0.509967329,0.499905009,0,1,numerical,-20.03573463,5.44E-89,No,,,2,interaction ,TRUE
165,industry_enrichment_3D Printing,0,0,57237,float64,2,0,5.24E-05,0.007239601,0,1,numerical,0.325203568,0.745028197,Yes,,,1,contact,TRUE
166,industry_enrichment__NA>,0,0,57237,float64,2,1,0.911910128,0.283428033,0,1,numerical,3.929086602,8.54E-05,No,,,1,contact,TRUE
167,industry_enrichment_Accounting and Finance,0,0,57237,float64,2,0,3.49E-05,0.005911161,0,1,numerical,0.2655252,0.790605856,Yes,,,1,contact,TRUE
168,industry_enrichment_Advertising and Marketing,0,0,57237,float64,2,0,8.74E-05,0.009346121,0,1,numerical,0.419843596,0.674601291,Yes,,,1,contact,TRUE
169,industry_enrichment_Aerospace and Aviation,0,0,57237,float64,2,0,0.000209655,0.014478063,0,1,numerical,-2.533389344,0.011299186,No,,,1,contact,TRUE
170,industry_enrichment_Aerospace and Defense,0,0,57237,float64,2,0,0.000314482,0.017731003,0,1,numerical,-0.503124904,0.614878395,Yes,,,1,contact,TRUE
171,"industry_enrichment_Aerospace and Defense
",0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
172,industry_enrichment_Agriculture Technology (AgTech),0,0,57237,float64,2,0,0.000157241,0.012538699,0,1,numerical,0.563299671,0.573233049,Yes,,,1,contact,TRUE
173,industry_enrichment_Agriculture and Farming,0,0,57237,float64,2,0,0.000646435,0.025417089,0,1,numerical,-0.671086527,0.502168117,Yes,,,1,contact,TRUE
174,industry_enrichment_Architecture and Engineering,0,0,57237,float64,2,0,0.001554938,0.03940238,0,1,numerical,-1.151954667,0.249344514,Yes,,,1,contact,TRUE
175,industry_enrichment_Artificial Intelligence and Machine Learning,0,0,57237,float64,2,0,0.000262068,0.016186542,0,1,numerical,-0.696583576,0.486066266,Yes,,,1,contact,TRUE
176,industry_enrichment_Arts and Crafts,0,0,57237,float64,2,0,1.75E-05,0.004179858,0,1,numerical,0.187752972,0.851070969,Yes,,,1,contact,TRUE
177,industry_enrichment_Augmented Reality (AR) and Virtual Reality (VR),0,0,57237,float64,2,0,8.74E-05,0.009346121,0,1,numerical,0.419843596,0.674601291,Yes,,,1,contact,TRUE
178,industry_enrichment_Automotive,0,0,57237,float64,2,0,0.001485053,0.038508102,0,1,numerical,1.732313359,0.083223172,Yes,,,1,contact,TRUE
179,industry_enrichment_Banking and Finance,0,0,57237,float64,2,0,0.003459301,0.058714515,0,1,numerical,-0.886258926,0.37548174,Yes,,,1,contact,TRUE
