Column,Missing,Missing_p,Count,Type,Distinct,Feat_type,stage,class,In use
current_position_job_type_True,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
previous_position_job_type__NA_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
previous_position_job_type_False,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
previous_position_job_type_True,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
delivery_format_blended,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
delivery_format_offline,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
delivery_format_online,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
type_Full_Time,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
type_Masterclass,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
type_Part_Time,0.0,0.0,44467.0,float64,2.0,numerical,1.0,class,True
current_company_location__NA_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
current_company_location_germany,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
current_company_location_italy,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
current_company_location_united_states,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
current_company_location_worldwide,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
hs_last_sales_activity_type__NA_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_last_sales_activity_type_EMAIL_CLICK,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_last_sales_activity_type_EMAIL_OPEN,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_last_sales_activity_type_EMAIL_REPLY,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_last_sales_activity_type_FORM_SUBMITTED,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_last_sales_activity_type_MEETING_BOOKED,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_sa_first_engagement_object_type__NA_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_sa_first_engagement_object_type_CALL,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_sa_first_engagement_object_type_CONVERSATION_SESSION,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_sa_first_engagement_object_type_EMAIL,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_sa_first_engagement_object_type_MEETING_EVENT,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_sa_first_engagement_object_type_TASK,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_predictivescoringtier_tier_0,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_predictivescoringtier_tier_1,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_predictivescoringtier_tier_2,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_predictivescoringtier_tier_3,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_predictivescoringtier_tier_4,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_predictivescoringtier_tier_5,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
vertical_name_Career_DHR,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
vertical_name_Data,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
vertical_name_Deep_Cybersecurity,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
vertical_name_Design,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
vertical_name_Digital_Marketing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
vertical_name_Digital_Product_Management,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
vertical_name_GEDI_DT,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
hs_analytics_source__NA_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_DIRECT_TRAFFIC,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_EMAIL_MARKETING,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_OFFLINE,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_ORGANIC_SEARCH,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_OTHER_CAMPAIGNS,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_PAID_SEARCH,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_PAID_SOCIAL,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_REFERRALS,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_analytics_source_SOCIAL_MEDIA,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source__NA_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_DIRECT_TRAFFIC,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_EMAIL_MARKETING,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_OFFLINE,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_ORGANIC_SEARCH,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_OTHER_CAMPAIGNS,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_PAID_SEARCH,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_PAID_SOCIAL,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_REFERRALS,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
hs_latest_source_SOCIAL_MEDIA,0.0,0.0,44467.0,float64,2.0,numerical,1.0,interaction ,True
deal_cooking_state_1,0.0,0.0,44467.0,float64,2.0,numerical,2.0,interaction ,True
deal_cooking_state_2,0.0,0.0,44467.0,float64,2.0,numerical,2.0,interaction ,True
deal_cooking_state_3,0.0,0.0,44467.0,float64,2.0,numerical,2.0,interaction ,True
deal_cooking_state__NA_,0.0,0.0,44467.0,float64,2.0,numerical,2.0,interaction ,True
deal_cooking_state_Closed_Lost_Fleeting_Interest,,,,,,,2.0,interaction ,True
deal_cooking_state_Closed_Lost_Budget,0.0,0.0,44467.0,float64,2.0,numerical,2.0,interaction ,True
deal_cooking_state_Closed_Lost_Certification,,,,,,,2.0,interaction ,True
deal_cooking_state_Closed_Lost_Experience,,,,,,,2.0,interaction ,True
deal_cooking_state_Closed_Lost_Format_Time_schedule,0.0,0.0,44467.0,float64,2.0,numerical,2.0,interaction ,True
deal_cooking_state_Closed_Lost_Too_Expensive,,,,,,,2.0,interaction ,True
deal_cooking_state_Closed_Lost_Topic,,,,,,,2.0,interaction ,True
industry_enrichment_3D_Printing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment__NA_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Accounting_and_Finance,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Advertising_and_Marketing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Aerospace_and_Aviation,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Aerospace_and_Defense,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Aerospace_and_Defense_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Agriculture_Technology_AgTech_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Agriculture_and_Farming,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Architectural_and_Engineering,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Architecture_and_Engineering,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Artificial_Intelligence_and_Machine_Learning,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Arts_and_Crafts,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Arts_and_Culture,,,,,,,1.0,contact,True
industry_enrichment_Augmented_Reality_AR_and_Virtual_Reality_VR_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Automotive,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Banking_and_Finance,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Biotechnology,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Chemicals,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Communication,,,,,,,1.0,contact,True
industry_enrichment_Communications,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Construction_and_Real_Estate,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Consulting,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
